承储企业,年份,级别,省份,品种名称,作物种类,储备量（万公斤）
辽宁东亚种业有限公司,2017,国家级,辽宁,北粳1号,常规水稻,5
辽宁东亚种业有限公司,2017,国家级,辽宁,沈农9816,常规水稻,5
辽宁东亚种业有限公司,2017,国家级,辽宁,东梁80,杂粮杂豆,1
辽宁东亚种业有限公司,2017,国家级,辽宁,东豇65,杂粮杂豆,0.5
辽宁东亚种业有限公司,2017,国家级,辽宁,豇豆王,杂粮杂豆,0.5
辽宁东亚种业有限公司,2017,国家级,辽宁,东谷1号,杂粮杂豆,1
辽宁东亚种业有限公司,2017,国家级,辽宁,东谷2号,杂粮杂豆,2
辽宁东亚种业有限公司,2017,国家级,辽宁,富友丰绿1号,杂粮杂豆,5
巴林左旗鑫达种业有限公司,2017,国家级,内蒙古,鑫杂2号,杂粮杂豆,10
巴林左旗鑫达种业有限公司,2017,国家级,内蒙古,鑫杂4号,杂粮杂豆,15
巴林左旗鑫达种业有限公司,2017,国家级,内蒙古,金丰谷,杂粮杂豆,5
内蒙古丰垦种业有限责任公司,2017,国家级,内蒙古,丰早303,杂交玉米,10
内蒙古丰垦种业有限责任公司,2017,国家级,内蒙古,兴垦9号,杂交玉米,20
内蒙古丰垦种业有限责任公司,2017,国家级,内蒙古,丰垦008,杂交玉米,15
内蒙古坤元太和农业科技有限公司,2017,国家级,内蒙古,夏波蒂,马铃薯,50
内蒙古民丰种业有限公司,2017,国家级,内蒙古,克新一号,马铃薯,25
内蒙古民丰种业有限公司,2017,国家级,内蒙古,夏波蒂,马铃薯,10
内蒙古民丰种业有限公司,2017,国家级,内蒙古,费乌瑞它,马铃薯,5
内蒙古民丰种业有限公司,2017,国家级,内蒙古,大西洋,马铃薯,5
翁牛特旗玉龙种子有限公司,2017,国家级,内蒙古,玉龙一号,杂交玉米,10
翁牛特旗玉龙种子有限公司,2017,国家级,内蒙古,玉龙11号,杂交玉米,10
翁牛特旗玉龙种子有限公司,2017,国家级,内蒙古,赤谷四号,杂粮杂豆,10
翁牛特旗玉龙种子有限公司,2017,国家级,内蒙古,大金苗,杂粮杂豆,10
翁牛特旗玉龙种子有限公司,2017,国家级,内蒙古,日本大粒,杂粮杂豆,10
扎鲁特旗众德种业有限责任公司,2017,国家级,内蒙古,众德331,杂交玉米,10
扎鲁特旗众德种业有限责任公司,2017,国家级,内蒙古,扎玉1号,杂交玉米,10
扎鲁特旗众德种业有限责任公司,2017,国家级,内蒙古,高杂4,杂粮杂豆,10
扎鲁特旗众德种业有限责任公司,2017,国家级,内蒙古,吉杂121,杂粮杂豆,10
宁夏丰禾种苗有限公司,2017,国家级,宁夏,宁单16号,杂交玉米,25
宁夏丰禾种苗有限公司,2017,国家级,宁夏,冀张薯8号,马铃薯,30
盐池县种子公司,2017,国家级,宁夏,信农1号,杂粮杂豆,5
盐池县种子公司,2017,国家级,宁夏,黔黑荞1号,杂粮杂豆,5
盐池县种子公司,2017,国家级,宁夏,盐池荞麦,杂粮杂豆,15
盐池县种子公司,2017,国家级,宁夏,宁糜17号,杂粮杂豆,3
盐池县种子公司,2017,国家级,宁夏,黄糜子,杂粮杂豆,4
盐池县种子公司,2017,国家级,宁夏,小黑糜子,杂粮杂豆,3
海南州百信绿色农业开发有限公司,2017,国家级,青海,青油21号,油菜,5
海南州百信绿色农业开发有限公司,2017,国家级,青海,浩油11号,油菜,5
海南州百信绿色农业开发有限公司,2017,国家级,青海,柴青1号,杂粮杂豆,40
青海互丰农业科技集团有限公司,2017,国家级,青海,青杂2号,油菜,20
青海互丰农业科技集团有限公司,2017,国家级,青海,青杂5号,油菜,20
青海省西宁市大通县惠丰种业 有限责任公司,2017,国家级,青海,青杂6号,油菜,5
青海省西宁市大通县惠丰种业 有限责任公司,2017,国家级,青海,柴青1号,杂粮杂豆,30
青海省西宁市大通县惠丰种业 有限责任公司,2017,国家级,青海,青海12号,杂粮杂豆,5
山东冠丰种业科技有限公司,2017,国家级,山东,蠡玉37,杂交玉米,45
山东连胜种业有限公司,2017,国家级,山东,莱农14号,杂交玉米,15
山东连胜种业有限公司,2017,国家级,山东,连胜216,杂交玉米,10
山东圣丰种业科技有限公司,2017,国家级,山东,鲁黄1号,大豆,5
山东圣丰种业科技有限公司,2017,国家级,山东,圣豆九号,大豆,5
山东圣丰种业科技有限公司,2017,国家级,山东,徐豆20,大豆,5
山东圣丰种业科技有限公司,2017,国家级,山东,徐豆18,大豆,20
山东中农天泰种业有限公司,2017,国家级,山东,天泰55,杂交玉米,30
